loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
2635,8244158,-287,-25,20,10,24,-4,7,23,-80,31,4005,385,-2,5485,122,1606,2,-14,352,720,1089,4304,714,1670,9,1003,21,92,-7,246,-519,-87,4586,1445,1553,1646,4806,6996,1992,1964,3083,131,116,-2,0,0,0,-298,-293,40,0,5
2636,8241509,-540,-27,18,10,24,-3,2,36,-77,101,3921,752,73,10108,122,1606,2,-14,352,720,1084,4287,697,1710,22,1491,18,67,21,146,-498,-76,4591,1449,1549,1702,666698,6869,1995,1962,3081,131,116,-2,0,0,0,-298,-293,40,0,5
2637,8238859,-538,-18,18,10,24,-3,3,46,-78,101,3921,751,73,10108,122,1604,2,-14,351,717,1084,4285,692,1711,4,1258,17,79,23,228,-484,-136,4614,1419,1562,1679,335746,6885,2035,1962,3079,131,116,-2,0,0,0,-298,-293,40,0,5
2638,8236082,-537,-18,15,10,24,-3,-9,55,-85,43,3929,858,110,10143,159,1604,4,-7,353,717,1090,4325,693,1712,15,1374,17,71,21,189,-491,-106,4601,1482,662093,1752,501221,6883,2033,1950,3082,131,116,-2,0,0,0,-298,-293,40,0,5
2639,8233304,-540,-18,13,10,24,-4,-13,50,-87,43,3929,857,110,10143,159,1600,4,-7,351,714,1092,4559,694,1711,9,1309,12,70,-90,253,-438,-118,4608,1410,331821,1693,418464,6860,2022,1990,3082,131,116,-2,0,0,0,-298,-293,40,0,5
2640,8230400,-535,-16,10,10,25,-3,-17,36,-91,-39,3976,852,110,10160,160,1600,5,-1,351,714,1098,4565,734,1712,11,1338,14,70,-33,214,-464,-112,4604,1446,496989,6938,459826,6892,2024,1991,3079,131,116,-2,0,0,0,-298,-293,40,0,5
2641,8227495,-539,-13,11,11,26,-4,-20,40,-90,-39,3976,852,110,10160,160,1596,5,-1,349,710,1097,4572,737,1710,7,1325,-7,64,-41,132,-604,-108,4601,1409,414374,4304,439145,6892,2013,2031,3079,131,116,-2,0,0,0,-298,-293,40,0,5
2642,8224652,-535,-14,10,11,27,-6,-39,32,-274,-163,3889,863,110,29409,160,1596,16,9,349,710,1137,4572,733,1707,11,1355,0,58,-34,173,-534,-110,4634,5555,455713,5626,449487,6888,2018,2014,3068,131,116,-2,0,0,0,-298,-293,40,0,5
2643,8221810,-540,-16,10,11,27,-7,-38,28,-277,-163,3889,863,110,29408,131,1593,16,9,348,707,1135,4574,-14,1712,11,1339,8,48,-50,243,-469,-151,4605,3507,434993,4967,444311,6888,1979,2009,3108,131,116,-2,0,0,0,-298,-293,40,0,5
2644,8218905,-540,-14,8,12,27,-9,-40,20,-159,-46,3804,820,110,38049,131,1593,20,42,348,707,1098,5950,4151448,1704,8,1339,22,74,-45,207,-511,-129,4619,4531,445339,5297,446901,6937,2818,2010,3107,131,116,-2,0,0,0,-298,-293,40,0,5
2645,8217968,-540,-14,10,11,27,-9,-38,23,-155,-46,3804,821,110,38049,131,1589,20,42,346,702,1098,5950,4151448,1699,6,1352,29,120,4,74,-508,-147,4622,3998,440160,5127,445595,6937,2858,2010,3109,131,116,-2,0,0,0,-298,-293,40,0,5
2646,8217085,-542,-11,10,11,28,-8,-23,38,-94,19,3646,790,113,38050,179,1589,21,58,346,702,1088,5990,4151448,1700,4,1347,23,97,-18,144,-509,-138,4621,4296,447957,-5092,446253,6936,2861,2008,3102,131,116,-2,0,0,0,-298,-293,40,0,5
2647,8216206,-540,-14,8,11,27,-8,-21,33,-97,19,3646,791,113,38050,179,1584,21,58,344,697,1088,5988,4151452,1699,-6,1358,24,168,-21,31,-543,-150,4593,4160,444052,3,445893,6947,2901,2001,3105,131,116,-2,0,0,0,-298,-293,40,0,5
2648,8215265,-543,-16,13,11,28,-9,-12,13,34,-1,3489,820,399,38050,218,1627,8224,63,344,697,1091,5992,4151449,1698,-3,1356,18,135,-19,87,-525,-112,9751,4110,446008,-2548,446072,6948,2902,2001,3080,131,116,-2,0,0,0,-298,-293,40,0,5
2649,8214325,-542,-10,12,11,28,-10,-13,24,33,-1,3489,821,399,38050,218,1623,8224,63,343,693,1091,5990,4151446,1697,0,1347,5,306,-55,-47,-528,-176,7187,4107,445036,-1285,445982,6948,2942,2001,3080,131,116,-2,0,0,0,-298,-293,40,0,5
2650,8213639,-538,-986,11,11,28,-10,-19,31,17,-14,3634,785,410,43445,220,1630,8225,64,344,693,1085,6030,4151445,1696,-3,1350,12,215,-43,17,-526,-144,8470,4140,450674,-1854,446027,6950,2941,2011,3064,131,116,-2,0,0,0,-298,-293,40,0,5
2651,8212953,-540,-985,10,11,28,-11,-25,36,17,-14,3634,786,410,43445,220,1627,8225,64,343,690,1085,6032,4151445,1697,9,1345,6,124,-99,96,-506,-158,7796,4097,447844,-1573,445989,6944,2981,2011,3065,131,116,-2,0,0,0,-298,-293,40,0,5
2652,8212394,-538,-984,9,11,28,-11,-25,54,35,-390,3617,733,410,43445,220,1627,8225,64,346,690,1070,6028,4151450,1692,43,1347,8,172,-72,54,-516,-149,8131,4118,449259,-1712,446056,6936,8141,2074,3065,131,116,-2,0,0,0,-298,-293,40,0,5
2653,8211835,-537,-985,12,11,28,-12,-23,52,41,-390,3617,736,410,43445,220,1625,8225,64,346,688,1069,6030,4151449,1691,19,1336,27,182,-66,146,-265,-182,7972,4124,448534,-1637,446018,6932,8130,2114,3066,131,116,-2,0,0,0,-298,-293,40,0,5
2654,8211275,-535,-985,13,12,28,-13,-20,56,40,-390,3617,739,410,43445,220,1623,8226,64,346,686,1069,6028,4151452,1691,19,1339,34,39,-39,12,-424,-164,8052,4140,448880,-1674,446032,6932,8093,3522,-4164143,131,116,-2,0,0,0,-298,-293,40,0,5
2655,8212683,-535,-981,13,12,28,-13,-22,60,40,-390,3617,740,410,43445,220,1621,8226,63,346,684,1069,6029,4151449,1690,22,1328,15,154,-98,58,-327,-183,8019,4108,448702,-1651,446020,6916,8133,3522,-4164144,131,116,-2,0,0,0,-298,-293,40,0,5
2656,8214091,-536,-980,14,12,28,-14,-25,60,43,-390,3617,740,410,43445,220,1620,8226,63,346,682,1069,6030,4151450,1693,27,1337,5,83,-143,0,-373,-164,8012,4120,448786,-1654,446030,6900,8173,3523,-4164143,131,116,-2,0,0,0,-298,-293,40,0,5
2657,8215498,-537,-982,14,13,28,-14,-27,56,44,-390,3617,739,410,43445,220,1618,8226,63,346,680,1068,6031,4151450,1694,20,1337,5,131,-246,161,-450,-188,8025,4092,448751,-1647,446008,6904,8178,3563,-4164143,131,116,-2,0,0,0,-298,-293,40,0,5
2658,8216906,-539,-977,13,13,28,-15,-30,65,40,-390,3617,738,410,43445,220,1616,8226,63,346,678,1067,6032,4151449,1691,30,1343,-17,71,-74,96,-450,-139,7968,4107,448759,-1655,446015,6918,8173,3603,-4164144,131,116,-2,0,0,0,-298,-293,40,0,5
186,21,-131,18,6,-1,-43,-4,-16,-23,5,40,0,-4,-1,2,-2,7,-1,1,0,0,1193,32,4152,96,3,0,-6,4,0,-7,11,-28,-114,162,195,143,127,8,5,46,9,131,116,-2,0,0,0,-298,-293,40,0,5
187,22,-130,17,6,-1,-43,-5,-13,-26,4,40,0,-5,-1,2,-2,5,-1,1,0,-2,1192,29,4153,97,1,-6,7,16,-97,-29,-61,-37,-112,145,202,134,123,-6,-19,86,8,131,116,-2,0,0,0,-298,-293,40,0,5
